""
Home |  Exit
Home |  Exit
"
						                        
						","
                    
", 
 , ,"



Zone


IP



","
Zone
","
IP
"
"
Zone
","
IP
KAKINADA,MSME-PEDDAPURAM,33,0,11517,988,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,APIE_ADONI,2,0,2092,478,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,IP-Racherla,11,0,105505,606,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,IP-THANGADANCHA,54,0,156197,1311,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,MSME-BRAHMANAPALLI,159,0,63217,604,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,MSME-THANGADANCHA,253,0,88738,853,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,MSME_ITIKYALA,222,0,104646,649,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,OMIH-UDL-PUDICHERLA,1,0,198303,371,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
KURNOOL,UDL-THANGADANCHA,8,0,315914,385,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,AUTO NAGAR NELLORE PH-I,1,0,500,8868,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,IP ATTIVARAM,37,0,460833,1440,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,IP Ananthavaram,13,0,34920,1286,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,IP NAIDUPET,130,0,2000386,1656,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,IP NAIDUPETA UN-DEVELOPED LAND,2,0,0,1478,Valid from:04-05-2016 to	31-03-2017,ORS GENERAL
NELLORE,IP NAKKALAKALVA KANDRIGA,10,0,201910,935,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,IP RAMDAS KANDRIGA,2,0,150913,394,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
NELLORE,IP_Bodduvaripalem UDL (Road),3,0,10991,684,Valid from:01-07-2020 to	30-09-2020,ORS GENERAL
